PeakName	Sequence_Length
chr1-1397299-1403467	6169
chr1-1404045-1404092	48
chr1-1405378-1405626	249
chr1-1406191-1408354	2164
chr1-1409327-1409528	202
chr1-1419442-1421082	1641
chr1-1425960-1428041	2082
chr1-1431758-1432083	326
chr1-1433242-1436610	3369
chr1-1440663-1441821	1159
chr1-1461967-1463075	1109
chr1-1470515-1473229	2715
chr1-1473830-1474130	301
chr1-1479451-1479953	503
chr1-1504556-1506140	1585
chr1-1508359-1508942	584
chr1-1509472-1509491	20
chr1-1510681-1513270	2590
chr1-1535664-1536867	1204
chr1-1538404-1541739	3336
chr1-1542334-1542729	396
chr1-1550744-1551342	599
chr1-1561471-1562772	1302
chr1-1564342-1564595	254
chr1-1568655-1569801	1147
chr1-1570732-1575919	5188
chr1-1577258-1578832	1575
chr1-1583090-1583737	648
chr1-1586250-1586420	171
chr1-1593925-1595057	1133
chr1-1596784-1605613	8830
chr1-1606262-1607881	1620
chr1-1613696-1632757	19062
chr1-1636486-1637220	735
chr1-1658425-1659722	1298
chr1-1664979-1666625	1647
chr1-1677325-1679325	2001
chr1-1684063-1684478	416
chr1-1685945-1687181	1237
chr1-1692206-1695195	2990
chr1-1703735-1704546	812
chr1-1706522-1706697	176
chr1-1715865-1715874	10
chr1-1721167-1721599	433
chr1-1723735-1725085	1351
chr1-1726266-1726465	200
chr1-1728310-1729507	1198
chr1-1730833-1732932	2100
chr1-1737876-1738151	276
chr1-1741175-1741183	9
chr1-1745493-1747538	2046
chr1-1748703-1749480	778
chr1-1752820-1753717	898
chr1-1754380-1754431	52
chr1-1758726-1759939	1214
chr1-1763950-1765436	1487
chr1-1775339-1776272	934
chr1-1776828-1783991	7164
chr1-1784651-1785052	402
chr1-1788146-1788493	348
chr1-1789004-1789445	442
chr1-1793311-1793423	113
chr1-1796403-1796909	507
chr1-1797849-1798408	560
chr1-1833500-1834360	861
chr1-1840241-1840746	506
chr1-1841359-1843247	1889
chr1-1847817-1848366	550
chr1-1849143-1849675	533
chr1-1855785-1856043	259
chr1-1857062-1857739	678
chr1-1858478-1859333	856
chr1-1860579-1862315	1737
chr1-1862850-1863146	297
chr1-1864234-1865133	900
chr1-1865806-1866265	460
chr1-1869208-1870298	1091
chr1-1871350-1871666	317
chr1-1872390-1873608	1219
chr1-1874294-1875320	1027
chr1-1875912-1876175	264
chr1-1878137-1878624	488
chr1-1879857-1882229	2373
chr1-1883027-1884216	1190
chr1-1886087-1896354	10268
chr1-1898823-1900099	1277
chr1-1901439-1902268	830
chr1-1905851-1911844	5994
chr1-1914190-1923960	9771
chr1-1924659-1925377	719
chr1-1943889-1944378	490
chr1-1960000-1960433	434
chr1-1996085-1996674	590
chr1-2003774-2003951	178
chr1-2019097-2019931	835
chr1-2025633-2026116	484
chr1-2043518-2045607	2090
chr1-2046415-2046874	460
chr1-2049292-2052006	2715
chr1-2091569-2092051	483
chr1-2108570-2108887	318
chr1-2110815-2111028	214
chr1-2112137-2113119	983
chr1-2115117-2115557	441
chr1-2118553-2119020	468
chr1-2126200-2128398	2199
chr1-2132143-2136521	4379
chr1-2137240-2137896	657
chr1-2139497-2140523	1027
chr1-2142545-2143351	807
chr1-2143897-2145315	1419
chr1-2145904-2147150	1247
chr1-2148366-2153679	5314
chr1-2159127-2159587	461
chr1-2160591-2160992	402
chr1-2162893-2163612	720
chr1-2173907-2174932	1026
chr1-2186045-2186207	163
chr1-2187674-2192185	4512
chr1-2192803-2202429	9627
chr1-2203038-2211269	8232
chr1-2212019-2217115	5097
chr1-2220253-2220263	11
chr1-2221007-2221034	28
chr1-2223991-2243905	19915
chr1-2245042-2260771	15730
chr1-2261501-2261862	362
chr1-2266257-2266396	140
chr1-2267865-2268540	676
chr1-2270704-2271683	980
chr1-2273521-2276943	3423
chr1-2277943-2279878	1936
chr1-2283363-2283540	178
chr1-2284504-2285007	504
chr1-2286808-2287095	288
chr1-2287696-2307507	19812
chr1-2308779-2309473	695
chr1-2310133-2323734	13602
chr1-2324427-2325039	613
chr1-2379593-2380016	424
chr1-2381223-2383175	1953
chr1-2390265-2393873	3609
chr1-2408697-2408947	251
chr1-2410387-2410398	12
chr1-2411619-2418124	6506
chr1-2443519-2444246	728
chr1-2467201-2468430	1230
chr1-2493438-2508142	14705
chr1-2522750-2532596	9847
chr1-2534929-2535578	650
chr1-2539257-2550817	11561
chr1-2553882-2565652	11771
chr1-2566156-2567745	1590
chr1-2569154-2569358	205
chr1-2570125-2570958	834
chr1-2575386-2579330	3945
chr1-2581112-2582179	1068
chr1-2583272-2589228	5957
chr1-2591818-2593503	1686
chr1-2611248-2611503	256
chr1-2627962-2629714	1753
chr1-2641098-2644825	3728
chr1-2786553-2787055	503
chr1-2788928-2789544	617
chr1-2801508-2802019	512
chr1-2821897-2822488	592
chr1-2839827-2841015	1189
chr1-2894362-2895141	780
chr1-2922100-2922347	248
chr1-2926673-2927741	1069
chr1-2953854-2954287	434
chr1-3012706-3012826	121
chr1-3032804-3033697	894
chr1-3070109-3070282	174
chr1-3171088-3171350	263
chr1-3313123-3313473	351
chr1-3316454-3317116	663
chr1-3319997-3320254	258
chr1-3372324-3372725	402
chr1-3384430-3384805	376
chr1-3424687-3425062	376
chr1-3453046-3455260	2215
chr1-3483824-3484253	430
chr1-3490796-3492384	1589
chr1-3494436-3494665	230
chr1-3495506-3496002	497
chr1-3501900-3502200	301
chr1-3529773-3533539	3767
chr1-3538491-3538882	392
chr1-3565179-3565645	467
chr1-3596873-3600260	3388
chr1-3610446-3612481	2036
chr1-3615190-3615482	293
chr1-3618570-3619644	1075
chr1-3620904-3621755	852
chr1-3623389-3626118	2730
chr1-3627896-3628124	229
chr1-3629811-3631662	1852
chr1-3649198-3653468	4271
chr1-3665437-3667812	2376
chr1-3668575-3670130	1556
chr1-3671978-3672046	69
chr1-3672685-3674451	1767
chr1-3676088-3679336	3249
chr1-3680726-3681119	394
chr1-3684041-3684409	369
chr1-3695536-3696018	483
chr1-3704016-3704337	322
chr1-3719997-3720348	352
chr1-3724331-3724816	486
chr1-3745954-3747811	1858
chr1-3771483-3776596	5114
chr1-3777576-3777708	133
chr1-3787440-3787749	310
chr1-3793551-3794140	590
chr1-3795700-3797317	1618
chr1-3801375-3801829	455
chr1-3810342-3810400	59
chr1-3842882-3843489	608
chr1-3856311-3858761	2451
chr1-3881088-3881407	320
chr1-3883246-3883981	736
chr1-3889866-3891759	1894
chr1-3899261-3904159	4899
chr1-3907243-3907564	322
chr1-3910681-3911575	895
chr1-3922218-3922656	439
chr1-4006980-4008176	1197
chr1-4027445-4027995	551
chr1-4044990-4045282	293
chr1-4638289-4638724	436
chr1-4652621-4652926	306
chr1-4736108-4736680	573
chr1-4796350-4796881	532
chr1-5286306-5286586	281
chr1-5329078-5329698	621
chr1-5348762-5349122	361
chr1-5370369-5370460	92
chr1-5388495-5390016	1522
chr1-5423132-5423660	529
chr1-5481827-5482333	507
chr1-5509846-5510237	392
chr1-5666776-5668424	1649
chr1-5745793-5746148	356
chr1-5951056-5951331	276
chr1-5954994-5955352	359
chr1-5966871-5967223	353
chr1-5975104-5976174	1071
chr1-5980353-5980926	574
chr1-5982306-5982719	414
chr1-5990874-5996590	5717
chr1-5998855-5999269	415
chr1-5999800-6000167	368
chr1-6000870-6004154	3285
chr1-6005208-6005854	647
chr1-6006617-6007195	579
chr1-6009208-6009469	262
chr1-6012646-6013760	1115
chr1-6014498-6015663	1166
chr1-6024481-6029747	5267
chr1-6030268-6030478	211
chr1-6034427-6034844	418
chr1-6037415-6037702	288
chr1-6041436-6041831	396
chr1-6052484-6052613	130
chr1-6056058-6057040	983
chr1-6058601-6059002	402
chr1-6085807-6085944	138
chr1-6086968-6087575	608
chr1-6090371-6090721	351
chr1-6095053-6102588	7536
chr1-6103337-6103378	42
chr1-6108826-6109268	443
chr1-6123026-6123499	474
chr1-6127424-6128472	1049
chr1-6148354-6149092	739
chr1-6180261-6181134	874
chr1-6198770-6200666	1897
chr1-6204833-6206761	1929
chr1-6208580-6210061	1482
chr1-6235009-6236832	1824
chr1-6242133-6242719	587
chr1-6244637-6247314	2678
chr1-6249100-6249669	570
chr1-6258649-6262387	3739
chr1-6293897-6295313	1417
chr1-6343351-6343881	531
chr1-6347863-6349705	1843
chr1-6357274-6361008	3735
chr1-6363014-6363647	634
chr1-6364791-6365831	1041
chr1-6374493-6374494	2
chr1-6391874-6395533	3660
chr1-6401564-6402191	628
chr1-6404370-6405265	896
chr1-6414309-6414761	453
chr1-6419047-6421004	1958
chr1-6423356-6425526	2171
chr1-6437956-6438469	514
chr1-6439932-6441129	1198
chr1-6445066-6445538	473
chr1-6446715-6450260	3546
chr1-6454440-6455954	1515
chr1-6459432-6463105	3674
chr1-6463636-6467553	3918
chr1-6475257-6476143	887
chr1-6485066-6487088	2023
chr1-6489137-6492006	2870
chr1-6493231-6493643	413
chr1-6495023-6495511	489
chr1-6496206-6498339	2134
chr1-6507325-6507362	38
chr1-6545283-6546102	820
chr1-6553618-6555703	2086
chr1-6575240-6575286	47
chr1-6576811-6577137	327
chr1-6578126-6583066	4941
chr1-6584210-6584498	289
chr1-6585823-6589687	3865
chr1-6590953-6592969	2017
chr1-6596848-6596934	87
chr1-6598651-6604569	5919
chr1-6612370-6615918	3549
chr1-6624509-6626224	1716
chr1-6634539-6635059	521
chr1-6646405-6646952	548
chr1-6700939-6702706	1768
chr1-6719938-6720439	502
chr1-6727406-6727924	519
chr1-6740778-6744492	3715
chr1-6745036-6745610	575
chr1-6747687-6748047	361
chr1-6751675-6752687	1013
chr1-6753247-6753983	737
chr1-6771123-6771431	309
chr1-6776895-6777304	410
chr1-6783217-6787003	3787
chr1-6788737-6789204	468
chr1-6800724-6801173	450
chr1-6889923-6890261	339
chr1-6962194-6963846	1653
chr1-7647237-7647617	381
chr1-7667426-7668189	764
chr1-7669393-7670034	642
chr1-7679850-7681289	1440
chr1-7702770-7706191	3422
chr1-7726772-7726874	103
chr1-7728711-7729305	595
chr1-7752797-7754055	1259
chr1-7770325-7772445	2121
chr1-7781126-7785308	4183
chr1-7786694-7787235	542
chr1-7808240-7808621	382
chr1-7826965-7827892	928
chr1-7831469-7831776	308
chr1-7856317-7856801	485
chr1-7886451-7886714	264
chr1-7898981-7899310	330
chr1-7902504-7903174	671
chr1-7913080-7913428	349
chr1-7915776-7916308	533
chr1-7920649-7920807	159
chr1-7927200-7927237	38
chr1-7929593-7931855	2263
chr1-7940587-7943578	2992
chr1-7944983-7945543	561
chr1-7948779-7949702	924
chr1-7953453-7955102	1650
chr1-7956434-7956464	31
chr1-7960078-7962635	2558
chr1-7963282-7963307	26
chr1-7970260-7970615	356
chr1-7975244-7975647	404
chr1-7982063-7982883	821
chr1-7993702-7994452	751
chr1-8004780-8005538	759
chr1-8014933-8015442	510
chr1-8019991-8020479	489
chr1-8025090-8027481	2392
chr1-8030999-8031597	599
chr1-8083825-8084012	188
chr1-8086087-8086440	354
chr1-8096589-8097836	1248
chr1-8104342-8105223	882
chr1-8106531-8107445	915
chr1-8113164-8114178	1015
chr1-8116604-8116937	334
chr1-8120743-8121807	1065
chr1-8126703-8127941	1239
chr1-8141564-8142075	512
chr1-8145541-8146009	469
chr1-8149539-8150256	718
chr1-8151427-8154307	2881
chr1-8155663-8156017	355
chr1-8165641-8166040	400
chr1-8167199-8168197	999
chr1-8169138-8170875	1738
chr1-8182052-8183257	1206
chr1-8194533-8194747	215
chr1-8204104-8204880	777
chr1-8211174-8212457	1284
chr1-8213054-8213467	414
chr1-8216882-8219316	2435
chr1-8224520-8225651	1132
chr1-8226825-8227132	308
chr1-8238975-8239127	153
chr1-8268080-8268279	200
chr1-8282083-8282441	359
chr1-8283151-8283714	564
chr1-8314264-8314901	638
chr1-8317495-8318963	1469
chr1-8348603-8352586	3984
chr1-8353448-8353833	386
chr1-8355259-8355768	510
chr1-8356410-8356735	326
chr1-8357343-8361167	3825
chr1-8374806-8374985	180
chr1-8382529-8383674	1146
chr1-8387960-8388509	550
chr1-8394968-8396185	1218
chr1-8396820-8398417	1598
chr1-8407628-8408292	665
chr1-8408917-8409797	881
chr1-8417731-8418083	353
chr1-8419018-8419624	607
chr1-8422228-8425352	3125
chr1-8426238-8428582	2345
chr1-8429676-8431621	1946
chr1-8432137-8432447	311
chr1-8438654-8439561	908
chr1-8443571-8444142	572
chr1-8448877-8449549	673
chr1-8457604-8458687	1084
chr1-8461452-8461690	239
chr1-8462974-8464051	1078
chr1-8465839-8466006	168
chr1-8472500-8473900	1401
chr1-8475958-8476622	665
chr1-8477342-8477522	181
chr1-8495929-8498138	2210
chr1-8509682-8510976	1295
chr1-8511626-8511939	314
chr1-8516780-8518388	1609
chr1-8520617-8521022	406
chr1-8522902-8526744	3843
chr1-8527674-8528158	485
chr1-8532888-8534267	1380
chr1-8552195-8552492	298
chr1-8561001-8561617	617
chr1-8562356-8562604	249
chr1-8602425-8603196	772
chr1-8603893-8604796	904
chr1-8621899-8622101	203
chr1-8623559-8624119	561
chr1-8625408-8625923	516
chr1-8629060-8630540	1481
chr1-8633837-8634118	282
chr1-8643504-8643972	469
chr1-8647621-8647985	365
chr1-8649116-8649370	255
chr1-8651127-8651705	579
chr1-8660332-8662130	1799
chr1-8662751-8662756	6
chr1-8663771-8664677	907
chr1-8666684-8667262	579
chr1-8669760-8670155	396
chr1-8671179-8671717	539
chr1-8674564-8674877	314
chr1-8680970-8681664	695
chr1-8687066-8687840	775
chr1-8700671-8703996	3326
chr1-8704608-8705504	897
chr1-8712047-8713410	1364
chr1-8726468-8727100	633
chr1-8764095-8764101	7
chr1-8814920-8818798	3879
chr1-8822773-8822964	192
chr1-8825965-8826366	402
chr1-8829282-8830176	895
chr1-8847891-8849464	1574
chr1-8859136-8860048	913
chr1-8862415-8863057	643
chr1-8865780-8866421	642
chr1-8867153-8867177	25
chr1-8869339-8869509	171
chr1-8870796-8872003	1208
chr1-8873093-8874514	1422
chr1-8875198-8881157	5960
chr1-8889133-8890471	1339
chr1-8891681-8892403	723
chr1-8899607-8900627	1021
chr1-8908200-8908845	646
chr1-8917821-8918638	818
chr1-8920683-8921191	509
chr1-8923188-8923206	19
chr1-8924588-8928112	3525
chr1-8938228-8939018	791
chr1-8939874-8940122	249
chr1-8943458-8943663	206
chr1-8945558-8947766	2209
chr1-8949312-8949319	8
chr1-8956728-8957147	420
chr1-8962525-8963478	954
chr1-8966613-8968208	1596
chr1-8969008-8971929	2922
chr1-8980676-8981065	390
chr1-8983726-8983987	262
chr1-8986584-8988623	2040
chr1-9004217-9005722	1506
chr1-9007518-9008173	656
chr1-9009988-9012018	2031
chr1-9015907-9015952	46
chr1-9036696-9037846	1151
chr1-9067062-9067687	626
chr1-9069179-9070132	954
chr1-9073169-9073582	414
chr1-9074788-9075530	743
chr1-9076109-9076633	525
chr1-9077920-9079217	1298
chr1-9082805-9083766	962
chr1-9093304-9094406	1103
chr1-9101504-9101965	462
chr1-9110656-9111347	692
chr1-9119652-9120673	1022
chr1-9121426-9122669	1244
chr1-9127964-9130810	2847
chr1-9131424-9132116	693
chr1-9135254-9135898	645
chr1-9142171-9143765	1595
chr1-9162705-9164763	2059
chr1-9174157-9174622	466
chr1-9179683-9180052	370
chr1-9181220-9183334	2115
chr1-9196106-9197032	927
chr1-9198863-9198982	120
chr1-9201489-9202112	624
chr1-9202633-9202717	85
chr1-9203517-9203975	459
chr1-9228654-9228937	284
chr1-9232888-9235935	3048
chr1-9238557-9240343	1787
chr1-9242571-9243579	1009
chr1-9244663-9244919	257
chr1-9249989-9250429	441
chr1-9260173-9260715	543
chr1-9266866-9267662	797
chr1-9275209-9276185	977
chr1-9279418-9279558	141
chr1-9280356-9280931	576
chr1-9284055-9284503	449
chr1-9288958-9290928	1971
chr1-9291859-9295751	3893
chr1-9300417-9300938	522
chr1-9340813-9341307	495
chr1-9362347-9363009	663
chr1-9368463-9368738	276
chr1-9373697-9374008	312
chr1-9399843-9401013	1171
chr1-9410717-9411452	736
chr1-9412621-9414085	1465
chr1-9416489-9418186	1698
chr1-9418886-9418979	94
chr1-9420841-9421239	399
chr1-9425318-9430186	4869
chr1-9439359-9439686	328
chr1-9455740-9456219	480
chr1-9490624-9491484	861
chr1-9494835-9495889	1055
chr1-9522299-9523081	783
chr1-9526080-9526960	881
chr1-9529049-9529740	692
chr1-9538215-9541397	3183
chr1-9542021-9543087	1067
chr1-9546592-9547086	495
chr1-9557611-9560447	2837
chr1-9560948-9562172	1225
chr1-9572968-9572969	2
chr1-9573718-9574063	346
chr1-9588125-9594544	6420
chr1-9601123-9601227	105
chr1-9601787-9602389	603
chr1-9615351-9616179	829
chr1-9625717-9631757	6041
chr1-9633450-9633957	508
chr1-9638496-9639849	1354
chr1-9641143-9641247	105
chr1-9643544-9645869	2326
chr1-9648077-9649883	1807
chr1-9650933-9656202	5270
chr1-9657657-9658752	1096
chr1-9663211-9663242	32
chr1-9665260-9665532	273
chr1-9669992-9670490	499
chr1-9676681-9677218	538
chr1-9680789-9681600	812
chr1-9683540-9691911	8372
chr1-9693828-9694181	354
chr1-9699361-9699703	343
chr1-9701918-9706378	4461
chr1-9707645-9707723	79
chr1-9710055-9710387	333
chr1-9711472-9712207	736
chr1-9713011-9736481	23471
chr1-9737038-9738689	1652
chr1-9768134-9768515	382
chr1-9784272-9785171	900
chr1-9786632-9788488	1857
chr1-9793821-9794179	359
chr1-9799714-9800899	1186
chr1-9807760-9807808	49
chr1-9809053-9809413	361
chr1-9822551-9828239	5689
chr1-9836067-9836240	174
chr1-9843221-9843999	779
chr1-9845891-9846439	549
chr1-9848721-9851303	2583
chr1-9860031-9860422	392
chr1-9867077-9868132	1056
chr1-9874604-9875575	972
chr1-9881809-9883520	1712
chr1-9890316-9890505	190
chr1-9892530-9893946	1417
chr1-9900057-9901287	1231
chr1-9904735-9905190	456
chr1-9908925-9911714	2790
chr1-9942266-9944213	1948
chr1-9949702-9951744	2043
chr1-9961164-9961524	361
chr1-9990524-9991664	1141
chr1-9992907-9993269	363
chr1-9996780-9998246	1467
chr1-10022566-10023188	623
chr1-10027410-10027514	105
chr1-10028913-10029571	659
chr1-10032215-10034794	2580
chr1-10055612-10056490	879
chr1-10066917-10067477	561
chr1-10074313-10074763	451
chr1-10147950-10148597	648
chr1-10151185-10151595	411
chr1-10152934-10153293	360
chr1-10173542-10173861	320
chr1-10186960-10187126	167
chr1-10189555-10190144	590
chr1-10208190-10212349	4160
chr1-10215956-10216806	851
chr1-10242772-10243251	480
chr1-10251669-10252219	551
chr1-10253702-10254093	392
chr1-10299158-10299582	425
chr1-10307818-10308433	616
chr1-10324619-10325046	428
chr1-10338083-10338385	303
chr1-10377170-10378961	1792
chr1-10380154-10380529	376
chr1-10387617-10388982	1366
chr1-10397983-10401101	3119
chr1-10414668-10415869	1202
chr1-10426893-10428703	1811
chr1-10429575-10431545	1971
chr1-10457543-10457623	81
chr1-10471411-10473197	1787
chr1-10474312-10476098	1787
chr1-10484392-10485024	633
chr1-10494393-10496600	2208
chr1-10497184-10497519	336
chr1-10498100-10498605	506
chr1-10507203-10507902	700
chr1-10510435-10511994	1560
chr1-10513325-10513592	268
chr1-10514175-10514831	657
chr1-10515567-10516095	529
chr1-10524985-10525874	890
chr1-10544125-10544719	595
chr1-10638116-10639495	1380
chr1-10679689-10679878	190
chr1-10691938-10695950	4013
chr1-10755807-10756397	591
chr1-10866160-10867726	1567
chr1-10888589-10888722	134
chr1-10903526-10905492	1967
chr1-10905994-10906007	14
chr1-10909838-10910512	675
chr1-10917427-10918759	1333
chr1-10931983-10932599	617
chr1-10937313-10937828	516
chr1-10939669-10941046	1378
chr1-10941888-10942419	532
chr1-10944368-10944494	127
chr1-10960757-10961605	849
chr1-10964835-10967336	2502
chr1-10969324-10969659	336
chr1-10979520-10979752	233
chr1-11011379-11013659	2281
chr1-11037503-11038265	763
chr1-11051762-11053356	1595
chr1-11054048-11054052	5
chr1-11058891-11061876	2986
chr1-11062893-11063393	501
chr1-11099018-11100649	1632
chr1-11227377-11227778	402
chr1-11241623-11242150	528
chr1-11246045-11246636	592
chr1-11261789-11263564	1776
chr1-11272230-11274336	2107
chr1-11280683-11282032	1350
chr1-11284852-11285083	232
chr1-11291509-11291969	461
chr1-11294995-11295108	114
chr1-11295904-11296235	332
chr1-11320156-11320533	378
chr1-11335278-11336095	818
chr1-11337462-11337930	469
chr1-11353139-11353205	67
chr1-11407251-11407738	488
chr1-11478567-11479552	986
chr1-11480053-11480459	407
chr1-11501489-11501889	401
chr1-11642220-11642862	643
chr1-11645618-11646472	855
chr1-11648593-11651302	2710
chr1-11652725-11655637	2913
chr1-11662702-11665504	2803
chr1-11670538-11672126	1589
chr1-11672916-11673653	738
chr1-11680194-11682106	1913
chr1-11690459-11693976	3518
chr1-11711085-11711536	452
chr1-11718558-11720566	2009
chr1-11725198-11726195	998
chr1-11729055-11732754	3700
chr1-11735151-11741441	6291
chr1-11748552-11749780	1229
chr1-11761917-11762478	562
chr1-11772357-11772804	448
chr1-11784368-11785804	1437
chr1-11787134-11792759	5626
chr1-11802491-11808379	5889
chr1-11812920-11813451	532
chr1-11814475-11815695	1221
chr1-11837375-11837393	19
chr1-11838094-11839110	1017
chr1-11841247-11844078	2832
chr1-11851067-11851753	687
chr1-11859204-11859681	478
chr1-11883062-11883072	11
chr1-11893549-11894378	830
chr1-11898460-11899215	756
chr1-11905300-11911482	6183
chr1-11925625-11927416	1792
chr1-11933919-11935428	1510
chr1-11952641-11953115	475
chr1-11960443-11961741	1299
chr1-11967065-11967515	451
chr1-11978226-11978788	563
chr1-11979466-11982436	2971
chr1-11985098-11986587	1490
chr1-12001565-12001968	404
chr1-12018535-12020952	2418
chr1-12021792-12022365	574
chr1-12029943-12030367	425
chr1-12031224-12031641	418
chr1-12039836-12041112	1277
chr1-12046853-12048106	1254
chr1-12051932-12052487	556
chr1-12063019-12064625	1607
chr1-12065961-12066058	98
chr1-12068163-12068971	809
chr1-12079035-12079939	905
chr1-12087369-12089349	1981
chr1-12102738-12103022	285
chr1-12118519-12119194	676
chr1-12121155-12121725	571
chr1-12124528-12128380	3853
chr1-12131715-12134932	3218
chr1-12135683-12135735	53
chr1-12138592-12138611	20
chr1-12139589-12154193	14605
chr1-12155066-12155674	609
chr1-12157166-12186991	29826
chr1-12188029-12189359	1331
chr1-12191246-12192913	1668
chr1-12194281-12195296	1016
chr1-12196269-12198653	2385
chr1-12199243-12199812	570
chr1-12201029-12205602	4574
chr1-12206786-12211376	4591
chr1-12229482-12231458	1977
chr1-12314383-12314477	95
chr1-12344119-12346243	2125
chr1-12376191-12377338	1148
chr1-12381028-12381729	702
chr1-12384854-12385400	547
chr1-12386080-12386597	518
chr1-12407406-12407811	406
chr1-12408670-12408846	177
chr1-12416042-12416584	543
chr1-12417360-12417808	449
chr1-12433664-12434786	1123
chr1-12435377-12436588	1212
chr1-12438262-12439200	939
chr1-12448743-12450814	2072
chr1-12453188-12453945	758
chr1-12456589-12456777	189
chr1-12458569-12458845	277
chr1-12472186-12474096	1911
chr1-12475118-12476316	1199
chr1-12477905-12479341	1437
chr1-12480004-12481546	1543
chr1-12496243-12496760	518
chr1-12510036-12511848	1813
chr1-12594780-12597046	2267
chr1-12597756-12598141	386
chr1-12601034-12602680	1647
chr1-12603710-12605328	1619
chr1-12615346-12621011	5666
chr1-12630929-12631648	720
chr1-12658928-12659438	511
chr1-13487495-13487650	156
chr1-13593539-13594251	713
chr1-13623164-13623816	653
chr1-13642518-13643374	857
chr1-13664069-13664736	668
chr1-13665420-13666469	1050
chr1-13667618-13668282	665
chr1-13674435-13674600	166
chr1-13699362-13703909	4548
chr1-13706068-13706841	774
chr1-13712957-13714015	1059
chr1-13722816-13724883	2068
chr1-13725416-13726485	1070
chr1-13728139-13729206	1068
chr1-13729932-13734069	4138
chr1-13737485-13737887	403
chr1-13747883-13750441	2559
chr1-13751678-13752167	490
chr1-13752926-13755026	2101
chr1-13756626-13757608	983
chr1-13758286-13759434	1149
chr1-13762381-13763188	808
chr1-13764046-13764300	255
chr1-13764927-13765596	670
chr1-13766515-13766665	151
chr1-13767330-13767534	205
chr1-13768961-13769663	703
chr1-13782151-13782635	485
chr1-13790673-13790974	302
chr1-13811192-13811621	430
chr1-13813588-13814022	435
chr1-14543538-14543629	92
chr1-14739409-14739892	484
chr1-14742267-14742324	58
chr1-14755851-14756252	402
chr1-14777749-14777978	230
chr1-14923829-14924790	962
chr1-14969066-14969433	368
chr1-15016486-15016787	302
chr1-15065639-15066635	997
chr1-15080311-15080700	390
chr1-15083635-15083947	313
chr1-15089587-15090767	1181
chr1-15100430-15100624	195
chr1-15128466-15128935	470
chr1-15136445-15136583	139
chr1-15137746-15138275	530
chr1-15141971-15143321	1351
chr1-15146823-15147387	565
chr1-15152312-15155007	2696
chr1-15156338-15156756	419
chr1-15168422-15168882	461
chr1-15177714-15178034	321
chr1-15218610-15218811	202
chr1-15224120-15225362	1243
chr1-15231388-15232310	923
chr1-15245849-15247832	1984
chr1-15248892-15249611	720
chr1-15252868-15253307	440
chr1-15258010-15259420	1411
